label,response
1,Alberta calling Tennessee hillbilly .. Pot kettle black
1,Listen Pete war listen vets Soldiers leave war end war leaves soldiers Meagan Swift Boated ( #GOPAF ) Pete today child Oligarchy playing Socialist Democrat w #Propaganda
1,Alex send bitchy negative tweet Max tell negative
1,set cage fire
1,autocorrect wanted ate
1,That's right It's climate warming global change Weather
1,pay dime required law jail protected govt think
1,That's did Soviets Afghanistan training bin Laden
1,You're defending civility ... uncivil Interesting strategy ( POINT shld uncivil )
1,Oh friends gues you're right type Jew killed right type assailant tweet days murder Orthodox Blacks believed Jews police harassment top
1,lies great Streep understand side politics allow differing opinions #lwnj
1,Canada exports asbestos world speak American coal killing people
1,realize grammar lesson breaks rules sentence formation right
1,thing Marcus You're living Earth 19
1,Don't hold back #Labour member I've moved Corbynism it's interesting think leadership campaign is'gonna comedy show'when actual PM #Boris actually hosted #BBC comedy show continues personality fool
1,praised apologizing showing leadership t
1,disagree Queen Toula mutes great debater definitely self-righteous #qcpoli #bill21
1,‘ rhetoric'are speaking man reminding he's man color wears skin 365/24 7 [ IOW part ] wasn't rhetoric that's reality folks wanted fade away sing kumbaya
1,there's nots administration ... start AMIRITE
1,13 2010 sad mothership fans Guess good #SVU cast crew
1,watching two insulting other's country ignoring fact made new generations other's generation conquerers country consider two nations granma niece
1,old Jewish man wears heart sleeves hate-mongering genocidal neo-Nazis
1,mean you're going sign old QB know who's going free agent connections head coach
1,Oh right 19 minutes won talking impeachment Pardon sarcasm
1,love contradict : people say roflol #fail #hypocrite
1,compelling argument highly intelligent Must've taken research come respond twitter's character limits
1,Yeah weird obviously understands mmt say think money bonds thing
1,teams submitted #honest bids bids did win
1,Imagine having self awareness Trump 2020 Advisory Board profile call people grifters
1,glad Twitter notified replied yeah it's actually blurry doubt done it's
1,EE told there's call centre I'll text it's delivered _
1,call idiot online post
1,C ) Gee Leftist CARED Radical ( ) MUSLIMS KILL GAYS VPOTUS PENCE
1,don't part women hit women attention men
1,_ sure u big believer #Iraq war #WMD prob support #Bush ___
1,Screwed beliefs ... says guy believes animals talk virgins give birth _
1,Soon Sir Nigel Farage allegedly Meaning he'll Unelected take unelected seat Lords
1,mention that's rich calling ignorant describing Trump bad
1,hell lose
1,means struggle reading comprehension Oh point irrelevant RESPONDED _
1,wouldn't bad movement it's literally PC hate esp it's necessary Jason Carly 2 days oh yay know love
1,Yes dare killed young man fled country refuse return face did helpful KILLED beginning adulthood family longer loved Christmas table
1,product supposed help healthier lifestyle bet dealing w mess made blood pressure
1,reception works twitter
1,Slavery condition having work hard proper remuneration appreciation
1,thank WaPo & similar outlets providing endless supply raw material hear & hair & makeup trying camouflage tears Stay tuned Yeah hair & makeup
1,she's literally challenging someone's intellectual capacity least make sense trying
1,know you're military & foreign policy experience thoroughly absorb analyze info briefings best people advising ( jail ) we're concerned war #duh
1,political military tensions build record number Chinese traveling U S
1,cuz didnt care _ s motto's Americans he's willing 2destroy d land d 1st americans
