,labels,responses
0,SARCASM,don't .. obviously care would've moved right .. decided care troll ..
1,SARCASM,trying protest Talking labels label WTF make em
2,SARCASM,makes insane money MOVIES Einstein #LearnHowTheSystemWorks
3,SARCASM,Trump won't release SAT scores Wharton professors dumbest student they've taught
4,SARCASM,Pretty Sure Anti-Lincoln Crowd Claimed Democracy Ballot 1860 Thought Lincoln Authoritarian #GOP #PartyOfLincoln #Democrats
5,SARCASM,-> tag line : judge book cover
6,SARCASM,excites kill millions
7,SARCASM,Oh look it's #racist offering solidarity gullible #idiot whining racists
8,SARCASM,biggest bullies
9,SARCASM,responds facts tossing frantic insults accuses triggered facts
10,SARCASM,yes there's knows sick
11,SARCASM,Trump Sen Cruz Tragically born bone _
12,SARCASM,Hey lose Asking black friends
13,SARCASM,love Stupid Party frequently accuses liberals tards
14,SARCASM,we've laughing friends didn't gov jobs billionaire way fun President
15,SARCASM,$ FNMA sweep accounting antiGAAP Divs excess stated rate accounted operating expense accounted stolen $
16,SARCASM,remember months back saying Americans shouldn't tell vote brexit
17,SARCASM,time checked there's Y Science Fiction
18,SARCASM,mean Muslim American I'd feel perfectly safe Trump presidency
19,SARCASM,Welp look taken Game 5 earlier series ... #OwnIt #OhhhTheBurn
20,SARCASM,jang Geo didn't find new & Qayyum Siddiqi reporting : SC can't take tht case technical grounds
21,SARCASM,Nice PM outright lying President
22,SARCASM,Hopefylly qualify proceed collection fake glasses #Winning
23,SARCASM,craziest thing tweet calling racist
24,SARCASM,answer stupid question enjoy harassing women _
25,SARCASM,Sounds good mean that's standard shooting black kids America assassinating foreign leaders
26,SARCASM,Dnt blame blame electoral college Libs going cry it's rigged Tables turned
27,SARCASM,please read damn comment Lmao
28,SARCASM,President spends bashing people
29,SARCASM,end finally peace Middle East s #wartoendallwars
30,SARCASM,Ofc is'nt mayor Islam doesn t mean ignore Don't status EID Ramadan Muharram
31,SARCASM,alert : Yeah doesnt count cuz great PR & #MSM didn't report right #DNCLeaks
